"","start.station.name","bike_count"
"253","Pershing Square North",53
"159","Broadway & E 22 St",37
"235","E 17 St & Broadway",36
"183","W 21 St & 6 Ave",33
"430","8 Ave & W 31 St",31
"67","Broadway & E 14 St",28
"64","Grand Army Plaza & Central Park S",28
"237","Broadway & W 60 St",27
"229","8 Ave & W 33 St",26
"142","University Pl & E 14 St",26
"218","W 41 St & 8 Ave",26
"256","W 38 St & 8 Ave",26
"179","West St & Chambers St",25
"126","E 47 St & Park Ave",25
"279","Central Park S & 6 Ave",25
"743","Broadway & W 25 St",24
"125","Christopher St & Greenwich St",24
"70","Lafayette St & E 8 St",24
"755","W 16 St & 8 Ave",24
"201","Broadway & W 58 St",23
"181","E 7 St & Avenue A",23
"28","Great Jones St",23
"243","6 Ave & W 33 St",22
"134","Carmine St & 6 Ave",22
"248","12 Ave & W 40 St",22
"435","Cooper Square & Astor Pl",22
"207","Broadway & W 41 St",22
"223","W 15 St & 7 Ave",22
"231","W 33 St & 7 Ave",22
"145","Centre St & Chambers St",22
"203","W 20 St & 11 Ave",22
"140","W 31 St & 7 Ave",22
"19","W 18 St & 6 Ave",21
"269","Lexington Ave & E 24 St",21
"13","Cleveland Pl & Spring St",21
"287","South End Ave & Liberty St",21
"582","W 52 St & 6 Ave",20
"206","W 22 St & 10 Ave",20
"242","1 Ave & E 16 St",20
"577","Grand St & Elizabeth St",20
